Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Industry (PJ),132,152,174,178,193,232,243,268,303,302,324,302,317,335,348,344,356,360,381,385,409,410,405,402,432,453,467,492,502,517,542,539,560,509,543,526,521,536,402,467,500,490,506,473,455,469,441,461,440,416,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Transport (PJ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,5,5,5,6,7,7,8,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Residential (PJ),81,101,122,133,140,163,176,198,225,227,237,235,249,269,279,297,297,281,278,401,470,460,482,453,476,536,488,532,537,529,540,554,551,618,605,612,542,586,594,581,532,588,607,454,489,529,514,484,476,450,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Commercial and public services (PJ),35,53,71,79,95,114,128,151,164,180,187,191,208,221,245,255,261,247,252,130,167,186,173,198,167,205,220,182,219,190,194,173,222,230,235,209,219,202,251,283,218,249,268,230,245,249,257,254,250,222,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Other final consumption (PJ),43,47,63,68,64,65,79,84,95,98,103,97,97,114,101,95,93,86,76,86,90,96,96,97,97,102,105,107,103,110,101,89,87,85,63,51,57,59,53,50,49,51,52,53,54,56,56,58,61,55,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Production (PJ),102,159,161,160,199,172,196,333,436,668,1149,1188,1574,2086,2445,2773,2897,3006,3316,3426,3615,3692,4017,3927,4115,4335,4314,4233,4301,4529,4594,4765,4812,4890,4926,4911,4797,4794,4470,4675,4826,4641,4622,4762,4772,4398,4346,4505,4353,3860,4138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Total energy supply (PJ),102,159,161,160,199,172,196,333,436,668,1149,1188,1574,2086,2445,2773,2897,3006,3316,3426,3615,3692,4017,3927,4115,4335,4314,4233,4301,4529,4594,4765,4812,4890,4926,4911,4797,4794,4470,4675,4826,4641,4622,4762,4772,4398,4346,4505,4353,3860,4138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,"Electricity, CHP and heat plants (PJ)",-102,-159,-161,-160,-199,-172,-196,-333,-436,-668,-1149,-1188,-1574,-2086,-2445,-2773,-2897,-3006,-3316,-3426,-3615,-3692,-4017,-3927,-4115,-4335,-4314,-4233,-4301,-4529,-4594,-4765,-4812,-4890,-4926,-4911,-4797,-4794,-4470,-4675,-4826,-4641,-4622,-4762,-4772,-4398,-4346,-4505,-4353,-3860,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Production (PJ),572,577,584,575,603,545,651,634,639,615,612,614,649,643,681,673,725,717,624,661,744,772,740,748,744,752,708,703,728,698,735,672,695,709,705,685,731,824,837,925,820,958,1051,974,1003,1057,1022,1110,1108,1124,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,17,17,15,25,19,26,40,38,53,68,70,78,57,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-3,-3,-1,0,-7,-11,-9,-25,-24,-22,-23,-27,-25,-27,-40,-35,-29,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Total energy supply (PJ),572,577,584,575,603,545,651,634,639,615,612,614,649,643,681,673,725,717,624,661,744,772,740,748,743,753,709,703,728,698,735,671,692,706,703,687,743,833,843,932,820,953,1055,988,1012,1084,1062,1141,1151,1151,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-211,-217,-210,-235,-248,-203,-304,-280,-274,-287,-293,-287,-283,-275,-270,-281,-312,-328,-227,-251,-270,-312,-297,-348,-329,-305,-298,-293,-338,-316,-346,-300,-297,-306,-315,-334,-363,-399,-385,-437,-380,-457,-526,-514,-517,-557,-539,-616,-620,-658,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Total final consumption (PJ),362,360,373,340,354,342,347,354,365,328,319,327,366,368,411,392,413,388,397,410,474,460,443,400,414,447,411,410,391,382,389,371,395,400,387,352,379,432,457,493,440,496,530,476,497,527,522,521,527,487,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Industry (PJ),44,47,49,50,47,45,46,46,48,47,45,44,47,52,53,48,50,55,59,63,63,63,59,63,64,63,67,67,65,65,64,65,67,68,66,50,53,51,57,61,68,71,70,66,70,76,71,77,77,76,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,10,13,11,11,14,14,14,13,14,24,30,60,96,103,101,102,112,113,123,125,125,131,131,134,111,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Residential (PJ),314,309,320,286,304,292,297,304,312,277,270,279,316,313,355,342,360,330,335,344,407,393,379,329,333,364,319,320,303,286,292,268,288,289,278,257,245,263,270,305,251,290,318,260,275,293,283,274,277,257,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,9,9,10,10,10,15,18,22,24,26,14,11,16,17,22,19,13,16,21,20,19,22,24,23,24,25,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Renewables and waste,Other final consumption (PJ),4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,6,6,7,7,7,8,11,13,15,15,16,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
