COUNTRY,PRODUCT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021E
Luxembourg,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0.27,0
Malta,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Malta,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Coal,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.08,0.09,0
Mexico,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Coal,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.01,0.06,0.08,0.08,0.1,0.13,0.14,0.19,0.14,0.15,0.17,0.2,0.27,0.32,0.39,0.39,0.43,0.51,0.38
Netherlands,Oil,0.1,0.05,0.12,0.08,0.11,0.11,0.14,0.13,0.07,0.16,0.22,0.31,0.36,0.44,0.59,0.66,0.7,0.64,0.68,0.73,0.71,0.73,0.72,0.74,0.71,0.86,1.06,1.23,1.35,0.9,0.67,0.85
Netherlands,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.11,0.1,0.11,0.07,0.07,0.04,0.06,0.09,0.16,0.2,0.3,0.26,0.46,0.42,0.41,0.31
Norway,Coal,0.07,0.02,0.09,0.05,0.02,0.03,0.02,0,0.04,0.04,0.07,0.05,0.05,0.15,0.11,0.07,0.13,0.07,0.09,0.12,0.19,0.17,0.14,0.09,0.15,0.15,0.15,0.18,0.17,0.2,0.18,0.18
Norway,Oil,0.05,0.02,0,0.02,0,0.01,0.01,0.03,0.03,0.02,0.03,0.06,0.02,0.01,0.02,0.03,0.01,0.01,0,0.02,0.08,0.06,0.06,0.02,0.02,0.05,0.05,0.04,0.04,0.06,0.03,0.04
Norway,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
New Zealand,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Coal,0,0,0,0,0,0,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.03,0.06,0.09,0.09,0.11,0.08,0.08,0.08,0.06,0.07,0.11,0.17,0.15,0.15,0.11
Poland,Oil,1.01,0.88,0.97,0.98,0.87,0.83,0.8,0.68,0.71,0.75,0.92,0.86,0.92,0.88,0.82,0.85,0.86,0.87,0.82,0.84,0.89,0.91,1.03,1.07,1.07,1.06,0.87,0.77,0.79,0.68,0.68,0.56
Poland,Natural Gas,0.76,0.69,0.69,0.57,0.6,0.64,0.61,0.58,0.65,0.53,0.54,0.58,0.57,0.53,0.43,0.46,0.49,0.45,0.51,0.55,0.62,0.64,0.59,0.58,0.55,0.53,0.62,0.55,0.5,0.49,0.46,0.47
Portugal,Coal,0.01,0.02,0.02,0.03,0.03,0.01,0,0,0,0.01,0.02,0.01,0,0,0,0,0,0.03,0.01,0.02,0.02,0,0,0,0,0,0,0.06,0.02,0.08,0,0
Portugal,Oil,0,0,0,0.04,0.04,0.06,0.05,0.06,0.05,0.04,0.02,0.08,0.04,0.1,0.06,0,0.01,0,0,0,0.01,0.04,0.04,0.17,0.14,0.16,0.33,0.43,0.34,0.18,0.07,0.12
Portugal,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.11,0.14
Romania,Coal,0,0,0.19,0.1,0.08,0.11,0.06,0.06,0.1,0.06,0.14,0.15,0.17,0.11,0,0.12,0.09,0.11,0.07,0.03,0.04,0.02,0.02,0.03,0.03,0.04,0.06,0.06,0.06,0.09,0.1,0
Romania,Oil,0,0,0,0,0,0,0,0,0,0,0.36,0.29,0.32,0.42,0,0.51,0.41,0.47,0.3,0.3,0.32,0.19,0.19,0.35,0.37,0.42,0.45,0.44,0.44,0.42,0.32,N/A
Romania,Natural Gas,0.21,0.16,0.17,0.18,0.2,0.25,0.29,0.25,0.26,0.18,0.2,0.18,0.23,0.26,0.3,0.3,0.32,0.28,0.28,0.15,0.16,0.19,0.18,0.11,0.04,0.02,0.13,0.1,0.11,0.09,0.08,0.23
Slovak Republic,Coal,0,0,0,0,0.12,0.17,0.19,0.12,0.08,0.2,0.25,0.25,0.25,0.24,0.21,0.32,0.19,0.32,0.26,0.26,0.19,0.19,0.22,0.19,0.18,0.24,0.19,0.24,0.31,0.33,0.27,0.21
Slovak Republic,Oil,0,0,0,0,0,0,0,0,0,0,0,1.79,1.6,1.74,1.82,1.56,1.7,1.71,1.6,1.68,1.52,1.71,1.65,1.82,1.77,1.82,1.68,1.46,1.41,1.4,1.54,1.33
Slovak Republic,Natural Gas,1.05,0.94,0.96,0.86,0.93,0.87,0.92,0.93,0.94,0.91,0.99,0.92,1,0.97,1.03,1.03,1.06,1,0.99,1.08,1,1.05,0.91,0.96,1.05,0.95,0.92,0.89,0.9,1.37,0.75,0.65
Slovenia,Coal,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0
Slovenia,Oil,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
Slovenia,Natural Gas,0.95,0.96,0.7,0.66,0.56,0.6,0.51,0.54,0.58,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.51,0.51,0.47,0.48,0.47,0.48,0.42,0.58,0.37,0.3,0.34,0.23,0.31,0.12,0.09,0.09
Spain,Coal,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0.04,0.05,0.06,0.07,0.06,0.1,0.13,0.13,0.09,0.12,0.12,0.08,0.1,0.14,0.14,0.12,0.19,0.15,0.25,0.21,0.37,0.51,0.35
Spain,Oil,0,0,0.06,0.1,0.09,0.09,0.08,0.07,0.09,0.1,0.09,0.09,0.13,0.16,0.14,0.14,0.19,0.22,0.15,0.17,0.15,0.18,0.18,0.19,0.18,0.12,0.13,0.08,0.04,0.07,0.08,0.12
Spain,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0.11,0.1
Sweden,Coal,0.12,0,0.09,0.11,0.06,0.1,0.06,0.06,0.05,0.05,0.07,0.04,0.05,0.04,0.1,0.21,0.18,0.17,0.2,0.14,0.17,0.16,0.14,0.15,0.15,0.16,0.15,0.15,0.17,0.14,0.2,0.24
Sweden,Oil,0.01,0.01,0.08,0.06,0.03,0.01,0.01,0.12,0.14,0.16,0.1,0.08,0.24,0.26,0.37,0.51,0.53,0.47,0.54,0.63,0.64,0.72,0.71,0.6,0.78,1.05,0.92,0.82,0.74,0.56,0.26,0.26
Sweden,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.03
Switzerland,Coal,0,0,0,0,0,0.02,0,0,0,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0,0,0.02,0,0.01,0.02,0.02,0.03,0.11,0.08,0.06
Switzerland,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0
Switzerland,Natural Gas,0.13,0.17,0.17,0.15,0.16,0.12,0.14,0.13,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Turkiye,Coal,0.04,0.05,0.04,0.03,0.03,0.04,0.08,0.09,0.11,0.12,0.15,0.11,0.17,0.19,0.19,0.19,0.2,0.21,0.18,0.19,0.2,0.16,0.18,0.18,0.16,0.21,0.2,0.23,0.19,0.21,0.26,0.21
Republic of Turkiye,Oil,0.09,0.01,0.02,0.05,0.01,0.05,0.02,0.02,0.03,0.09,0.07,0.17,0.13,0.16,0.22,0.25,0.23,0.3,0.24,0.22,0.14,0.1,0.09,0.08,0.05,0.11,0.1,0.07,0.07,0.26,0.1,0.14
Republic of Turkiye,Natural Gas,0.94,0.95,0.96,0.96,0.9,0.79,0.67,0.65,0.6,0.67,0.65,0.66,0.64,0.58,0.61,0.62,0.6,0.61,0.63,0.55,0.46,0.57,0.59,0.57,0.55,0.56,0.53,0.53,0.47,0.34,0.34,0.44
United Kingdom,Coal,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.06,0.07,0.06,0.16,0.29,0.36,0.34,0.37,0.39,0.19,0.25,0.29,0.34,0.37,0.22,0.13,0.26,0.36,0.27,0.2,0.23
